what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1363728962296
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1363728962297
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1363728962297
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1363728962297
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1363728962297
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1363728962297
os,sysinfo,,,"win32",1363728962300
arch,sysinfo,,,"x86",1363728962300
ws,sysinfo,,,"win32",1363728962300
locale,sysinfo,,,"en_US",1363728962300
processors,sysinfo,,,"2",1363728962300
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363728962300
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1363728962300
java.specification.name,sysinfo,,,"Java Platform API Specification",1363728962300
java.specification.vendor,sysinfo,,,"Oracle Corporation",1363728962301
java.specification.version,sysinfo,,,"1.7",1363728962301
java.vendor,sysinfo,,,"Oracle Corporation",1363728962301
java.version,sysinfo,,,"1.7.0_07",1363728962301
java.vm.info,sysinfo,,,"mixed mode, sharing",1363728962301
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1363728962301
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363728962301
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1363728962301
java.vm.specification.version,sysinfo,,,"1.7",1363728962301
java.vm.vendor,sysinfo,,,"Oracle Corporation",1363728962301
java.vm.version,sysinfo,,,"23.3-b01",1363728962301
started,bundle,plugin_separate,1.0.0.qualifier,"plugin_separate",1363728965844
opened,editor,plugin_separate,1.0.0.qualifier,"plugin_hello_world.editors.MultiPageEditor",1363728966353
activated,editor,plugin_separate,1.0.0.qualifier,"plugin_hello_world.editors.MultiPageEditor",1363728966490
